,answer_count,articles_count,avatar_url,avatar_url_template,badge,follower_count,gender,headline,id,is_advertiser,is_followed,is_following,is_org,name,type,url,url_token,use_default_avatar,user_type,vip_info
0,248,88,https://pic2.zhimg.com/v2-a184d51cff5ad11f99afbf1a842bde8d_is.jpg,https://pic2.zhimg.com/v2-a184d51cff5ad11f99afbf1a842bde8d_{size}.jpg,"[{'type': 'identity', 'description': '皮肤科主治医师'}, {'type': 'best_answerer', 'description': '优秀回答者', 'topics': [{'id': '19604128', 'type': 'topic', 'url': 'https://www.zhihu.com/topics/19604128', 'name': '医学', 'avatar_url': 'https://pic1.zhimg.com/a78b253d8f27af0933c63bae17bb5cb0_is.jpg', 'answer_count': 44}]}]",261342,0,公号也叫 陈语岚,dfbea6428cfca082a70ed419a3c138a5,False,False,False,False,陈语岚,people,https://www.zhihu.com/people/chen-yu-lan-25,chen-yu-lan-25,False,people,"{'is_vip': True, 'rename_days': '60', 'widget': {'url': 'https://pic2.zhimg.com/v2-377163eddd9f6d5e5d639cf12214dc05_r.png', 'night_mode_url': 'https://pic3.zhimg.com/v2-26afadd8b7447d09335c5db537386ca9_r.png'}, 'vip_icon': {'url': 'https://pic3.zhimg.com/v2-4812630bc27d642f7cafcd6cdeca3d7a_r.png', 'night_mode_url': 'https://pic3.zhimg.com/v2-c9686ff064ea3579730756ac6c289978_r.png'}}"
1,26,0,https://pic4.zhimg.com/v2-315eb69367d479bf70e6fdc01e5733f4_is.jpg,https://pic4.zhimg.com/v2-315eb69367d479bf70e6fdc01e5733f4_{size}.jpg,[],2438,-1,一介匹夫,c4b59e17dec25c0cb96ec39651ace878,False,False,False,False,23780,people,https://www.zhihu.com/people/zheng-yu-lun-32,zheng-yu-lun-32,False,people,"{'is_vip': False, 'rename_days': '60'}"
2,428,78,https://pic2.zhimg.com/v2-d29d98823e960572e0bda0ef3b6db7ce_is.jpg,https://pic2.zhimg.com/v2-d29d98823e960572e0bda0ef3b6db7ce_{size}.jpg,"[{'type': 'best_answerer', 'description': '优秀回答者', 'topics': [{'id': '19550429', 'type': 'topic', 'url': 'https://www.zhihu.com/topics/19550429', 'name': '电影', 'avatar_url': 'https://pic3.zhimg.com/7d8c15df29ce6900c80f9cf630992687_is.jpg', 'answer_count': 136}, {'id': '19556827', 'type': 'topic', 'url': 'https://www.zhihu.com/topics/19556827', 'name': '电影制作', 'avatar_url': 'https://pic3.zhimg.com/f2ce6b45e69e516830cc4f3ded096e78_is.jpg', 'answer_count': 11}]}]",219485,1,天凉好个球,6a5dedf7ba8aa62d2734fac200ca0f8a,False,False,False,False,月巴月巴豸弗豸弗,people,https://www.zhihu.com/people/wu-zhi-mao-78,wu-zhi-mao-78,False,people,"{'is_vip': True, 'rename_days': '60', 'widget': {'url': 'https://pic4.zhimg.com/v2-203ce25f0e37308a0716db7a5dc09179_r.png', 'night_mode_url': 'https://pic2.zhimg.com/v2-ad95b4cbfe6d2e33629dc723905174c2_r.png'}, 'vip_icon': {'url': 'https://pic3.zhimg.com/v2-4812630bc27d642f7cafcd6cdeca3d7a_r.png', 'night_mode_url': 'https://pic3.zhimg.com/v2-c9686ff064ea3579730756ac6c289978_r.png'}}"
3,0,261,https://pic4.zhimg.com/v2-c44d2c69c3c691201aae95bb6c05ade9_is.jpg,https://pic4.zhimg.com/v2-c44d2c69c3c691201aae95bb6c05ade9_{size}.jpg,[],2691,0,北美首屈一指Data Bootcamp (www.DataAppLab.com),53cb88e3bb7f7c03cc3c3f66db042e17,False,False,False,False,数据应用学院官方,people,https://www.zhihu.com/people/dal-zhu-jiao,dal-zhu-jiao,False,people,"{'is_vip': False, 'rename_days': '60'}"
4,214,26,https://pic4.zhimg.com/7131cbae7ddfef56d2a36596b7cff13e_is.jpg,https://pic4.zhimg.com/7131cbae7ddfef56d2a36596b7cff13e_{size}.jpg,"[{'type': 'best_answerer', 'description': '优秀回答者', 'topics': [{'id': '19552832', 'type': 'topic', 'url': 'https://www.zhihu.com/topics/19552832', 'name': 'Python', 'avatar_url': 'https://pic4.zhimg.com/v2-1b642f312b0369f240fd6fb494f4acc9_is.jpg', 'answer_count': 69}]}]",39445,1,没什么好介绍的。,9dc46aa6570ad50f998d93e5e63049de,False,False,False,False,xlzd,people,https://www.zhihu.com/people/xlzd,xlzd,False,people,"{'is_vip': True, 'rename_days': '60', 'widget': {'url': 'https://pic4.zhimg.com/v2-a3557f6cca50e8dab303754518243f10_r.png', 'night_mode_url': 'https://pic1.zhimg.com/v2-6687f589313041e70e01d6b7acde526a_r.png'}, 'vip_icon': {'url': 'https://pic3.zhimg.com/v2-4812630bc27d642f7cafcd6cdeca3d7a_r.png', 'night_mode_url': 'https://pic3.zhimg.com/v2-c9686ff064ea3579730756ac6c289978_r.png'}}"
5,516,95,https://pic2.zhimg.com/v2-c3a39b43163af8b284c53292ae9277de_is.jpg,https://pic2.zhimg.com/v2-c3a39b43163af8b284c53292ae9277de_{size}.jpg,"[{'type': 'identity', 'description': '爱丁堡大学 商学院助理教授'}, {'type': 'best_answerer', 'description': '优秀回答者', 'topics': [{'id': '19560170', 'type': 'topic', 'url': 'https://www.zhihu.com/topics/19560170', 'name': '经济学', 'avatar_url': 'https://pic4.zhimg.com/30ffc337a555a56877aebdab9c5042f7_is.jpg', 'answer_count': 117}, {'id': '19567962', 'type': 'topic', 'url': 'https://www.zhihu.com/topics/19567962', 'name': '博弈论', 'avatar_url': 'https://pic3.zhimg.com/43efd061747369b1f03cc2c34adca45e_is.jpg', 'answer_count': 36}, {'id': '19552981', 'type': 'topic', 'url': 'https://www.zhihu.com/topics/19552981', 'name': '经济', 'avatar_url': 'https://pic4.zhimg.com/v2-b761e41f19531e4899892e9197de40dd_is.jpg', 'answer_count': 25}]}]",549716,1,三国英雄士，四朝经济臣,06916ab5292b620917a7be1b4945a19d,False,False,False,False,司马懿,people,https://www.zhihu.com/people/divinites,divinites,False,people,"{'is_vip': True, 'rename_days': '60', 'vip_icon': {'url': 'https://pic3.zhimg.com/v2-4812630bc27d642f7cafcd6cdeca3d7a_r.png', 'night_mode_url': 'https://pic3.zhimg.com/v2-c9686ff064ea3579730756ac6c289978_r.png'}}"
6,12,0,https://pic4.zhimg.com/v2-e0e4c7a5eb22aba4623aff23c1c1aea8_is.jpg,https://pic4.zhimg.com/v2-e0e4c7a5eb22aba4623aff23c1c1aea8_{size}.jpg,[],17118,0,,c1961855b4125e17f3e69efb8088e8d0,False,False,False,False,答姐,people,https://www.zhihu.com/people/ting-1-93,ting-1-93,False,people,"{'is_vip': False, 'rename_days': '60'}"
7,229,2,https://pic2.zhimg.com/v2-e01ffee563949fb74b3bdd3b1f4cf3ef_is.jpg,https://pic2.zhimg.com/v2-e01ffee563949fb74b3bdd3b1f4cf3ef_{size}.jpg,[],27134,1,一颗匠心,ea81b74deadbd664439f17309e87e3e2,False,False,False,False,盗盗,people,https://www.zhihu.com/people/daodao,daodao,False,people,"{'is_vip': False, 'rename_days': '60', 'widget': {'url': 'https://pic4.zhimg.com/v2-172acbbfb5d0f8dda36e927922f667ba_r.png', 'night_mode_url': 'https://pic2.zhimg.com/v2-b1a34922870d3497960fdc7d03fafbaf_r.png'}}"
8,56,1,https://pic3.zhimg.com/v2-0936a3025300b10cbd53866926639630_is.jpg,https://pic3.zhimg.com/v2-0936a3025300b10cbd53866926639630_{size}.jpg,[],42303,0,逼乎,032b13b124282bc53a498527621101ab,False,False,False,False,四七,people,https://www.zhihu.com/people/tippimaths,tippimaths,False,people,"{'is_vip': False, 'rename_days': '60'}"
9,4344,61,https://pic4.zhimg.com/ab952a4f1312716c6163c524fdbebdae_is.jpg,https://pic4.zhimg.com/ab952a4f1312716c6163c524fdbebdae_{size}.jpg,"[{'type': 'best_answerer', 'description': '优秀回答者', 'topics': [{'id': '19613730', 'type': 'topic', 'url': 'https://www.zhihu.com/topics/19613730', 'name': '计算机图形学', 'avatar_url': 'https://pic1.zhimg.com/95b86ea8b502d9aef1b13f621bba2ef3_is.jpg', 'answer_count': 317}, {'id': '19584970', 'type': 'topic', 'url': 'https://www.zhihu.com/topics/19584970', 'name': 'C++', 'avatar_url': 'https://pic1.zhimg.com/9db7191dc_is.jpg', 'answer_count': 299}]}]",152788,1,http://klayge.org,0b21747b1fec79ad8af7e68a2b1ff681,False,False,False,False,叛逆者,people,https://www.zhihu.com/people/minmin.gong,minmin.gong,False,people,"{'is_vip': True, 'rename_days': '60', 'vip_icon': {'url': 'https://pic3.zhimg.com/v2-4812630bc27d642f7cafcd6cdeca3d7a_r.png', 'night_mode_url': 'https://pic3.zhimg.com/v2-c9686ff064ea3579730756ac6c289978_r.png'}}"
